ticker,sector,model,fold,metric,score
XLE,Energy,Always-up reference,2024,directional_accuracy,0.5476190476190477
XLE,Energy,Market-only model,2025,auc_roc,0.4762589928057554
XLE,Energy,Market-only model,2025,f1,0.6591549295774648
XLE,Energy,Market-only model,2025,directional_accuracy,0.5140562248995983
XLE,Energy,Market + news sentiment model,2025,auc_roc,0.5249182472204055
XLE,Energy,Market + news sentiment model,2025,f1,0.6568047337278107
XLE,Energy,Market + news sentiment model,2025,directional_accuracy,0.5341365461847389
XLE,Energy,Always-up reference,2025,auc_roc,0.5
XLE,Energy,Always-up reference,2025,f1,0.7164948453608248
XLE,Energy,Always-up reference,2025,directional_accuracy,0.5582329317269076
XLU,Utilities,Market-only model,2022,auc_roc,0.5095359186268277
XLU,Utilities,Market-only model,2022,f1,0.6125
XLU,Utilities,Market-only model,2022,directional_accuracy,0.5059760956175299
XLU,Utilities,Market + news sentiment model,2022,auc_roc,0.4661792752701844
XLU,Utilities,Market + news sentiment model,2022,f1,0.5855263157894737
XLU,Utilities,Market + news sentiment model,2022,directional_accuracy,0.49800796812749004
XLU,Utilities,Always-up reference,2022,auc_roc,0.5
XLU,Utilities,Always-up reference,2022,f1,0.6824146981627297
XLU,Utilities,Always-up reference,2022,directional_accuracy,0.5179282868525896
XLU,Utilities,Market-only model,2023,auc_roc,0.46347865053453685
XLU,Utilities,Market-only model,2023,f1,0.6069364161849711
XLU,Utilities,Market-only model,2023,directional_accuracy,0.456
XLU,Utilities,Market + news sentiment model,2023,auc_roc,0.4493310287433583
XLU,Utilities,Market + news sentiment model,2023,f1,0.5838509316770186
XLU,Utilities,Market + news sentiment model,2023,directional_accuracy,0.464
XLU,Utilities,Always-up reference,2023,auc_roc,0.5
XLU,Utilities,Always-up reference,2023,f1,0.6595174262734584
XLU,Utilities,Always-up reference,2023,directional_accuracy,0.492
XLU,Utilities,Market-only model,2024,auc_roc,0.439030612244898
XLU,Utilities,Market-only model,2024,f1,0.6703601108033241
XLU,Utilities,Market-only model,2024,directional_accuracy,0.5277777777777778
XLU,Utilities,Market + news sentiment model,2024,auc_roc,0.45082908163265306
XLU,Utilities,Market + news sentiment model,2024,f1,0.6337209302325582
XLU,Utilities,Market + news sentiment model,2024,directional_accuracy,0.5
XLU,Utilities,Always-up reference,2024,auc_roc,0.5
XLU,Utilities,Always-up reference,2024,f1,0.7142857142857143
XLU,Utilities,Always-up reference,2024,directional_accuracy,0.5555555555555556
XLU,Utilities,Market-only model,2025,auc_roc,0.46787017726798746
XLU,Utilities,Market-only model,2025,f1,0.7135416666666666
XLU,Utilities,Market-only model,2025,directional_accuracy,0.5582329317269076
XLU,Utilities,Market + news sentiment model,2025,auc_roc,0.4754953076120959
XLU,Utilities,Market + news sentiment model,2025,f1,0.6972972972972973
XLU,Utilities,Market + news sentiment model,2025,directional_accuracy,0.5502008032128514
XLU,Utilities,Always-up reference,2025,auc_roc,0.5
XLU,Utilities,Always-up reference,2025,f1,0.7098445595854922
XLU,Utilities,Always-up reference,2025,directional_accuracy,0.5502008032128514
XLB,Materials,Market-only model,2022,auc_roc,0.4668962877918102
XLB,Materials,Market-only model,2022,f1,0.6306818181818182
XLB,Materials,Market-only model,2022,directional_accuracy,0.4820717131474104
XLB,Materials,Market + news sentiment model,2022,auc_roc,0.49917081260364843
XLB,Materials,Market + news sentiment model,2022,f1,0.6318840579710145
XLB,Materials,Market + news sentiment model,2022,directional_accuracy,0.4940239043824701
XLB,Materials,Always-up reference,2022,auc_roc,0.5
XLB,Materials,Always-up reference,2022,f1,0.6358695652173914
XLB,Materials,Always-up reference,2022,directional_accuracy,0.46613545816733065
XLB,Materials,Market-only model,2023,auc_roc,0.5333634778115108
XLB,Materials,Market-only model,2023,f1,0.6322188449848024
XLB,Materials,Market-only model,2023,directional_accuracy,0.516
XLB,Materials,Market + news sentiment model,2023,auc_roc,0.5592661972740779
XLB,Materials,Market + news sentiment model,2023,f1,0.6687116564417178
XLB,Materials,Market + news sentiment model,2023,directional_accuracy,0.568
XLB,Materials,Always-up reference,2023,auc_roc,0.5
XLB,Materials,Always-up reference,2023,f1,0.7080103359173127
XLB,Materials,Always-up reference,2023,directional_accuracy,0.548
XLB,Materials,Market-only model,2024,auc_roc,0.4875402182827582
XLB,Materials,Market-only model,2024,f1,0.6684491978609626
XLB,Materials,Market-only model,2024,directional_accuracy,0.5079365079365079
XLB,Materials,Market + news sentiment model,2024,auc_roc,0.5296195823607344
XLB,Materials,Market + news sentiment model,2024,f1,0.6756756756756757
XLB,Materials,Market + news sentiment model,2024,directional_accuracy,0.5238095238095238
XLB,Materials,Always-up reference,2024,auc_roc,0.5
XLB,Materials,Always-up reference,2024,f1,0.6840731070496083
XLB,Materials,Always-up reference,2024,directional_accuracy,0.5198412698412699
XLB,Materials,Market-only model,2025,auc_roc,0.5085817524841915
XLB,Materials,Market-only model,2025,f1,0.6554621848739496
XLB,Materials,Market-only model,2025,directional_accuracy,0.5060240963855421
XLB,Materials,Market + news sentiment model,2025,auc_roc,0.4738675958188153
XLB,Materials,Market + news sentiment model,2025,f1,0.6453488372093024
XLB,Materials,Market + news sentiment model,2025,directional_accuracy,0.5100401606425703
XLB,Materials,Always-up reference,2025,auc_roc,0.5
XLB,Materials,Always-up reference,2025,f1,0.672
XLB,Materials,Always-up reference,2025,directional_accuracy,0.5060240963855421
XLRE,Real Estate,Market-only model,2022,auc_roc,0.46730472764645425
XLRE,Real Estate,Market-only model,2022,f1,0.6149584487534626
XLRE,Real Estate,Market-only model,2022,directional_accuracy,0.44621513944223107
XLRE,Real Estate,Market + news sentiment model,2022,auc_roc,0.44906217882836585
XLRE,Real Estate,Market + news sentiment model,2022,f1,0.5775075987841946
XLRE,Real Estate,Market + news sentiment model,2022,directional_accuracy,0.44621513944223107
XLRE,Real Estate,Always-up reference,2022,auc_roc,0.5
XLRE,Real Estate,Always-up reference,2022,f1,0.6170798898071626
XLRE,Real Estate,Always-up reference,2022,directional_accuracy,0.44621513944223107
XLRE,Real Estate,Market-only model,2023,auc_roc,0.47905993852459017
XLRE,Real Estate,Market-only model,2023,f1,0.6703296703296703
XLRE,Real Estate,Market-only model,2023,directional_accuracy,0.52
XLRE,Real Estate,Market + news sentiment model,2023,auc_roc,0.4341060450819672
XLRE,Real Estate,Market + news sentiment model,2023,f1,0.6344410876132931
XLRE,Real Estate,Market + news sentiment model,2023,directional_accuracy,0.516
XLRE,Real Estate,Always-up reference,2023,auc_roc,0.5
XLRE,Real Estate,Always-up reference,2023,f1,0.6772486772486772
XLRE,Real Estate,Always-up reference,2023,directional_accuracy,0.512
XLRE,Real Estate,Market-only model,2024,auc_roc,0.537515762925599
XLRE,Real Estate,Market-only model,2024,f1,0.6630727762803235
XLRE,Real Estate,Market-only model,2024,directional_accuracy,0.503968253968254
XLRE,Real Estate,Market + news sentiment model,2024,auc_roc,0.5484237074401009
XLRE,Real Estate,Market + news sentiment model,2024,f1,0.6666666666666666
XLRE,Real Estate,Market + news sentiment model,2024,directional_accuracy,0.5277777777777778
XLRE,Real Estate,Always-up reference,2024,auc_roc,0.5
XLRE,Real Estate,Always-up reference,2024,f1,0.680628272251309
XLRE,Real Estate,Always-up reference,2024,directional_accuracy,0.5158730158730159
XLRE,Real Estate,Market-only model,2025,auc_roc,0.5328165374677003
XLRE,Real Estate,Market-only model,2025,f1,0.6777777777777778
XLRE,Real Estate,Market-only model,2025,directional_accuracy,0.5341365461847389
XLRE,Real Estate,Market + news sentiment model,2025,auc_roc,0.5516149870801034
XLRE,Real Estate,Market + news sentiment model,2025,f1,0.6547619047619048
XLRE,Real Estate,Market + news sentiment model,2025,directional_accuracy,0.5341365461847389
XLRE,Real Estate,Always-up reference,2025,auc_roc,0.5
XLRE,Real Estate,Always-up reference,2025,f1,0.6825396825396826
XLRE,Real Estate,Always-up reference,2025,directional_accuracy,0.5180722891566265
